2018-11-18 13:16:55,723 INFO     Accepted connection from
2018-11-18 13:16:55,725 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:55,778 INFO     Received [reset]
2018-11-18 13:16:55,778 INFO     Still connected to
2018-11-18 13:16:55,779 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:55,810 INFO     Received [reset]
2018-11-18 13:16:55,811 INFO     Still connected to
2018-11-18 13:16:55,811 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:55,818 INFO     Received [reset]
2018-11-18 13:16:55,818 INFO     Still connected to
2018-11-18 13:16:55,819 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:55,843 INFO     Received [reset]
2018-11-18 13:16:55,843 INFO     Still connected to
2018-11-18 13:16:55,844 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:55,875 INFO     Received [reset]
2018-11-18 13:16:55,876 INFO     Still connected to
2018-11-18 13:16:55,876 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:55,878 INFO     Received [reset]
2018-11-18 13:16:55,878 INFO     Still connected to
2018-11-18 13:16:55,879 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:55,913 INFO     Received [reset]
2018-11-18 13:16:55,913 INFO     Still connected to
2018-11-18 13:16:55,914 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:55,918 INFO     Received [reset]
2018-11-18 13:16:55,918 INFO     Still connected to
2018-11-18 13:16:55,919 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:55,954 INFO     Received [reset]
2018-11-18 13:16:55,955 INFO     Still connected to
2018-11-18 13:16:55,955 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:55,958 INFO     Received [reset]
2018-11-18 13:16:55,958 INFO     Still connected to
2018-11-18 13:16:55,959 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:55,995 INFO     Received [reset]
2018-11-18 13:16:55,996 INFO     Still connected to
2018-11-18 13:16:55,996 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:55,998 INFO     Received [reset]
2018-11-18 13:16:55,998 INFO     Still connected to
2018-11-18 13:16:55,999 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,030 INFO     Received [reset]
2018-11-18 13:16:56,031 INFO     Still connected to
2018-11-18 13:16:56,031 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:56,066 INFO     Received [reset]
